identifier,Prefname,definition,notes,altLabel,source,type
/object-class/gravity-observation,Gravity Observation,A site sampling feature specifically for a gravity observation,,Gravity Station,NGDS,observation
/object-class/heat-flow-observation,Heat Flow Observation,description of heat flow measurements,,Heat Flow Observation,NGDS,observation
/object-class/heat-pump-facility,Heat Pump Facility,description of heat pump facility locations,,Heat Pump Facility,NGDS,facility
/object-class/hydraulic-properties-observation,Hydraulic Properties Observation,A specification of the hydraulic properties of some sampling feature.,,Hydraulic Properties Observation,NGDS,observation
/object-class/isopleth-feature,Isopleth Feature,a connected sequence of points characterized by equal values for some observed property,,Contour Line Feature,NGDS,feature
/object-class/mineral-recovery-brine-experimental-data,Mineral Recovery Brine Experimental Data,Record of experimental parameters related to experimental recovery of products from brines.  capturing the variables to describe/evaluate REE removal and capturing the variables influencing removal and describing removal media; Essentially metadata for experimental configuration. Use to record observations of REE extraction processes and can be used to compare the efficacy of those processes.,,Brin Mineral Recovery Experimental Data,NGDS,information object
/object-class/mineral-recovery-brine-process-and-economics,Mineral Recovery Brine Process And Economics,"Record of  parameters in the product removal (“reactor”) technique used to recover minerals from a brine, the ability of the media to be re-used, and the techno-economic and process economics. Use to record observations of REE extraction processes and can be used to compare the efficacy of those processes.",,Brin Mineral Recovery Experimental Data,NGDS,information object
/object-class/physical-sample,Physical Sample,An object extracted from a larger feature with the intention of representing one or more characteristics of that feature.,,Physical Sample,NGDS,sampling feature
/object-class/powell-and-cumming-geothermometry-observation,Powell And Cumming Geothermometry Observation,Observation results requires to run Powell and Cumming geothermometry calculations for geothermal fluids,,Powell And Cumming Geothermometry,NGDS,observation
/object-class/power-plant-production-observation,Power Plant Production Observation,Observation with a result reporting the  electrical power production for a specific time interval from a power generating facility,,Power Plant Production,NGDS,observation
/object-class/radiogenic-heat-production-observation,Radiogenic Heat Production Observation,"Observation with a  result reporting the heat energy production rate from a sampling feature,  typically based on analysis of ore or more individual rock samples",,Radiogenic Heat Production,NGDS,observation
/object-class/resource-documentation,Resource Documentation,"Collection of properties to describe and existing resource, including information for discovery, evaluation and access.",,Metadata,NGDS,information object
/object-class/rock-chemical-composition-observation,Rock Chemical Composition Observation,observation whose result is the concentration of one or more analytes in a sampling feature whose material composition is a solid EarthMaterial.,,Rock Chemistry,NGDS,observation
/object-class/seismic-event-hypocenter-observation,Seismic Event Hypocenter Observation,Observation with a result that is the location of the hypocenter of a seismic event,,Seismic Event Hypocenter,NGDS,observation
/object-class/thermal-conductivity-observation,Thermal Conductivity Observation,Observation with a result that is the thermal conductivity of a sampling feature.,,Thermal Conductivity Observation,NGDS,observation
/object-class/thermal-spring,Thermal Spring,characterizing a hot spring feature,,Thermal Spring,NGDS,hydrologic feature
/object-class/volcanic-vent-feature,Volcanic Vent Feature,A feature in the Earth's surface from which lava has been erupted.,,Volcanic Vent,NGDS,geologic feature
/object-class/well,Well,A facility intended to provide access to the subsurface of the Earth; might be used for extraction or injection of materials; has one or more borehole traces and a collar location,,,,feature
/object-class/well-fluid-flux-observation,Well Fluid Flux Observation,Observation whose result is the fluid flux into or out of a well.,,Fluid Flux Injection And Disposal Observation,NGDS,observation
/object-class/well-fluid-production-observation,Well Fluid Production Observation,"Observation with a result that specifies the volume of fluid produced from a given well. A generic model is intended to allow for a variety of flows from a well including oil, gas, and water as well as steam production. ",,Well Fluid Production,NGDS,observation
/object-class/well-header-feature,Well Header Feature,"Feature that is the intersection of a well with a mapping horizon. In a simple well, the well header is identical with the borehole collar for a single borehole trace that constitutes the well.",,Well Header Observation,NGDS,feature
/object-class/well-log-observation,Well Log Observation,An observation with a result that is a coverage of property values at intervals along the trace of a borehole,,Well Log Observation,NGDS,observation
/object-class/well-test-observation,Well Test Observation,"Observation with a result that consists of fluid flux, pressure and temperature data; includes inforamtion charactrizing the experimental conditions",,Well Test,NGDS,observation
